Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
1;19300156903;"Foundations and Trends in Machine Learning";journal;"19358245, 19358237";"Now Publishers Inc";No;No;22,797;Q1;42;5;12;1326;1613;12;48,33;265,20;25,00;1;0;United States;Northern America;"Now Publishers Inc";"2008-2024";"Artificial Intelligence (Q1); Human-Computer Interaction (Q1); Software (Q1)";"Computer Science"
2;21101007236;"Nature Machine Intelligence";journal;"25225839";"Springer International Publishing";Yes;No;5,876;Q1;94;177;484;9104;9769;353;18,44;51,44;27,87;2;20;Switzerland;Western Europe;"Springer International Publishing";"2019-2025";"Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Computer Vision and Pattern Recognition (Q1); Human-Computer Interaction (Q1); Software (Q1)";"Computer Science"
3;21100274221;"IEEE Transactions on Cybernetics";journal;"21682275, 21682267";"IEEE Advancing Technology for Humanity";No;No;4,450;Q1;208;699;2284;33184;31927;2284;13,67;47,47;29,23;0;47;United States;Northern America;"IEEE Advancing Technology for Humanity";"2013-2025";"Computer Science Applications (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1); Human-Computer Interaction (Q1); Information Systems (Q1); Software (Q1)";"Computer Science; Engineering"
4;26099;"Information Fusion";journal;"18726305, 15662535";"Elsevier B.V.";No;No;4,128;Q1;179;510;670;37954;15732;660;22,65;74,42;29,47;2;86;Netherlands;Western Europe;"Elsevier B.V.";"2000-2025";"Hardware and Architecture (Q1); Information Systems (Q1); Signal Processing (Q1); Software (Q1)";"Computer Science"
5;24254;"IEEE Transactions on Pattern Analysis and Machine Intelligence";journal;"01628828";"IEEE Computer Society";No;No;3,910;Q1;435;812;2070;65710;47377;2059;21,19;80,92;27,12;0;15;United States;Northern America;"IEEE Computer Society";"1978-2025";"Applied Mathematics (Q1); Artificial Intelligence (Q1); Computational Theory and Mathematics (Q1); Computer Vision and Pattern Recognition (Q1); Software (Q1)";"Computer Science; Mathematics"
6;21100235616;"IEEE Transactions on Neural Networks and Learning Systems";journal;"2162237X, 21622388";"IEEE Computational Intelligence Society";No;No;3,686;Q1;269;1991;2021;97654;31905;2010;13,72;49,05;29,47;0;95;United States;Northern America;"IEEE Computational Intelligence Society";"2012-2025";"Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Computer Science Applications (Q1); Software (Q1)";"Computer Science"
7;14966;"Journal of Manufacturing Systems";journal;"02786125";"Elsevier B.V.";No;No;3,633;Q1;120;246;662;15972;12977;653;17,62;64,93;23,95;0;129;Netherlands;Western Europe;"Elsevier B.V.";"1982-2025";"Control and Systems Engineering (Q1); Hardware and Architecture (Q1); Industrial and Manufacturing Engineering (Q1); Software (Q1)";"Computer Science; Engineering"
8;12321;"Information Systems Journal";journal;"13501917, 13652575";"Wiley-Blackwell Publishing Ltd";No;No;3,599;Q1;114;88;132;8367;1462;110;8,54;95,08;38,33;2;23;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1991-2025";"Computer Networks and Communications (Q1); Information Systems (Q1); Software (Q1)";"Computer Science"
9;25037;"IEEE Transactions on Evolutionary Computation";journal;"1089778X";"Institute of Electrical and Electronics Engineers Inc.";No;No;3,495;Q1;222;257;364;9725;5263;357;12,51;37,84;27,27;0;21;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1997-2025";"Computational Theory and Mathematics (Q1); Software (Q1); Theoretical Computer Science (Q1)";"Computer Science; Mathematics"
10;21100262320;"IEEE Transactions on Systems, Man, and Cybernetics: Systems";journal;"21682216, 21682232";"IEEE Advancing Technology for Humanity";No;No;3,254;Q1;184;672;2003;30273;22913;2003;10,82;45,05;30,41;0;67;United States;Northern America;"IEEE Advancing Technology for Humanity";"1996, 2011, 2013-2025";"Computer Science Applications (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1); Human-Computer Interaction (Q1); Information Systems (Q1); Software (Q1)";"Computer Science; Engineering"
11;21101101212;"AI Open";journal;"26666510";"KeAi Communications Co.";Yes;No;3,212;Q1;23;21;62;1049;1406;60;19,85;49,95;24,73;0;1;China;Asiatic Region;"KeAi Communications Co.";"2020-2025";"Artificial Intelligence (Q1); Computer Science Applications (Q1); Computer Vision and Pattern Recognition (Q1); Human-Computer Interaction (Q1); Information Systems (Q1); Software (Q1)";"Computer Science"
12;12137;"Journal of Statistical Software";journal;"15487660";"University of California at Los Angeles";Yes;Yes;3,211;Q1;187;39;145;2049;1310;144;8,11;52,54;21,14;2;2;United States;Northern America;"University of California at Los Angeles";"1996-2024";"Software (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Computer Science; Decision Sciences; Mathematics"
13;72242;"International Journal of Computer Vision";journal;"09205691, 15731405";"Springer Netherlands";No;No;3,136;Q1;232;373;486;29783;9156;476;12,79;79,85;27,85;0;13;Netherlands;Western Europe;"Springer Netherlands";"1987-2025";"Artificial Intelligence (Q1); Computer Vision and Pattern Recognition (Q1); Software (Q1)";"Computer Science"
14;18080;"Robotics and Computer-Integrated Manufacturing";journal;"07365845";"Elsevier Ltd";No;No;2,892;Q1;133;162;451;9287;6734;446;15,44;57,33;21,77;1;114;United Kingdom;Western Europe;"Elsevier Ltd";"1984-1994, 1996-2025";"Computer Science Applications (Q1); Control and Systems Engineering (Q1); Industrial and Manufacturing Engineering (Q1); Mathematics (miscellaneous) (Q1); Software (Q1)";"Computer Science; Engineering; Mathematics"
15;16733;"IEEE Transactions on Medical Imaging";journal;"02780062, 1558254X";"Institute of Electrical and Electronics Engineers Inc.";No;No;2,629;Q1;273;439;966;23203;11588;966;11,16;52,85;30,04;0;69;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1982-2025";"Computer Science Applications (Q1); Electrical and Electronic Engineering (Q1); Radiological and Ultrasound Technology (Q1); Software (Q1)";"Computer Science; Engineering; Health Professions"
16;27239;"IEEE Network";journal;"08908044, 1558156X";"Institute of Electrical and Electronics Engineers Inc.";No;No;2,516;Q1;160;362;625;4853;5685;594;7,12;13,41;28,33;0;63;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1986-2025";"Computer Networks and Communications (Q1); Hardware and Architecture (Q1); Information Systems (Q1); Software (Q1)";"Computer Science"
17;25534;"IEEE Transactions on Image Processing";journal;"10577149";"Institute of Electrical and Electronics Engineers Inc.";No;No;2,502;Q1;346;511;1750;32960;25095;1750;13,32;64,50;28,84;0;11;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1992-2025";"Computer Graphics and Computer-Aided Design (Q1); Software (Q1)";"Computer Science"
18;27843;"Annual Reviews in Control";journal;"13675788";"Elsevier Ltd";No;No;2,386;Q1;111;40;173;4631;2070;163;11,58;115,78;20,63;0;6;United Kingdom;Western Europe;"Elsevier Ltd";"1996-2025";"Control and Systems Engineering (Q1); Software (Q1)";"Computer Science; Engineering"
19;18050;"International Journal of Robotics Research";journal;"02783649, 17413176";"SAGE Publications Inc.";No;No;2,333;Q1;202;150;189;10568;1937;171;7,50;70,45;18,83;0;21;United States;Northern America;"SAGE Publications Inc.";"1982-2025";"Applied Mathematics (Q1); Artificial Intelligence (Q1); Electrical and Electronic Engineering (Q1); Mechanical Engineering (Q1); Modeling and Simulation (Q1); Software (Q1)";"Computer Science; Engineering; Mathematics"
20;25038;"IEEE Transactions on Mobile Computing";journal;"15361233";"Institute of Electrical and Electronics Engineers Inc.";No;No;2,332;Q1;164;1135;1051;55842;10258;1051;9,72;49,20;30,32;0;165;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2002-2025";"Computer Networks and Communications (Q1); Electrical and Electronic Engineering (Q1); Software (Q1)";"Computer Science; Engineering"
21;23127;"Journal of the ACM";journal;"00045411, 1557735X";"Association for Computing Machinery (ACM)";No;No;2,246;Q1;146;42;129;2671;557;121;3,31;63,60;14,50;0;0;United States;Northern America;"Association for Computing Machinery (ACM)";"1954-2025";"Artificial Intelligence (Q1); Control and Systems Engineering (Q1); Hardware and Architecture (Q1); Information Systems (Q1); Software (Q1)";"Computer Science; Engineering"
